country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","18-02-2026 16:00:00",16.536107,80.594233,NH3,3,5,3
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","18-02-2026 16:00:00",16.536107,80.594233,SO2,13,23,21
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","18-02-2026 16:00:00",16.536107,80.594233,CO,16,46,28
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","18-02-2026 16:00:00",16.536107,80.594233,OZONE,26,26,26
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","18-02-2026 16:00:00",16.486692,80.699436,NO2,16,19,19
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","18-02-2026 16:00:00",16.486692,80.699436,CO,32,53,39
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","18-02-2026 16:00:00",16.509717,80.612222,PM2.5,59,90,72
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","18-02-2026 16:00:00",16.509717,80.612222,NH3,4,6,6
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","18-02-2026 16:00:00",16.509717,80.612222,SO2,15,18,16
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","18-02-2026 16:00:00",17.72,83.3,PM2.5,85,262,142
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","18-02-2026 16:00:00",17.72,83.3,SO2,1,20,8
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","18-02-2026 16:00:00",27.103358,93.679645,PM2.5,59,394,182
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","18-02-2026 16:00:00",26.0881305,87.93840336,PM2.5,47,200,112
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","18-02-2026 16:00:00",27.308328,84.531742,PM2.5,70,207,105
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","18-02-2026 16:00:00",27.308328,84.531742,NH3,1,2,1
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","18-02-2026 16:00:00",26.63086,84.90051,PM2.5,57,320,118
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","18-02-2026 16:00:00",26.63086,84.90051,PM10,64,221,108
India,Bihar,Munger,"Town Hall, Munger - BSPCB","18-02-2026 16:00:00",25.376776,86.471523,PM2.5,32,173,80
India,Bihar,Munger,"Town Hall, Munger - BSPCB","18-02-2026 16:00:00",25.376776,86.471523,PM10,25,106,61
India,Bihar,Munger,"Town Hall, Munger - BSPCB","18-02-2026 16:00:00",25.376776,86.471523,SO2,18,80,43
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","18-02-2026 16:00:00",26.11442,85.39813,PM2.5,113,212,174
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","18-02-2026 16:00:00",13.204880,79.097889,CO,20,53,32
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","18-02-2026 16:00:00",14.465052,78.824187,CO,24,34,29
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","18-02-2026 16:00:00",16.9872867,81.7363176,PM2.5,89,205,137
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","18-02-2026 16:00:00",13.67,79.35,NH3,1,2,2
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","18-02-2026 16:00:00",13.67,79.35,CO,2,123,60
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","18-02-2026 16:00:00",13.615387,79.409230,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","18-02-2026 16:00:00",16.536107,80.594233,NO2,14,25,22
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","18-02-2026 16:00:00",27.103358,93.679645,NO2,7,8,7
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","18-02-2026 16:00:00",27.103358,93.679645,SO2,9,11,10
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","18-02-2026 16:00:00",26.10887,91.589544,PM2.5,70,131,98
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","18-02-2026 16:00:00",26.10887,91.589544,PM10,97,143,122
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","18-02-2026 16:00:00",26.10887,91.589544,OZONE,12,16,14
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","18-02-2026 16:00:00",26.187500,91.744194,CO,8,76,27
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","18-02-2026 16:00:00",26.349082,92.68449,PM2.5,76,218,126
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","18-02-2026 16:00:00",24.7955,84.9994,OZONE,17,19,18
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","18-02-2026 16:00:00",24.792403,84.992416,NO2,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","18-02-2026 16:00:00",24.792403,84.992416,CO,1,102,13
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","18-02-2026 16:00:00",24.792403,84.992416,OZONE,10,43,15
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","18-02-2026 16:00:00",25.697189,85.245900,PM2.5,59,241,143
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","18-02-2026 16:00:00",25.560083,87.553265,PM10,52,100,80
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","18-02-2026 16:00:00",25.560083,87.553265,NH3,1,1,1
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","18-02-2026 16:00:00",26.1403345,85.3650192,NO2,3,5,4
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","18-02-2026 16:00:00",26.1209,85.3647,PM2.5,88,105,92
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","18-02-2026 16:00:00",26.1209,85.3647,CO,24,68,49
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","18-02-2026 16:00:00",25.586562,85.043586,PM10,70,206,136
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","18-02-2026 16:00:00",25.586562,85.043586,NH3,4,5,5
India,Bihar,Patna,"Muradpur, Patna - BSPCB","18-02-2026 16:00:00",25.619651,85.147382,NH3,4,5,5
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","18-02-2026 16:00:00",26.349082,92.68449,OZONE,8,10,9
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","18-02-2026 16:00:00",26.446912,91.439057,CO,20,22,21
India,Assam,Silchar,"Tarapur, Silchar - PCBA","18-02-2026 16:00:00",24.82827,92.79525,PM2.5,13,81,45
India,Assam,Silchar,"Tarapur, Silchar - PCBA","18-02-2026 16:00:00",24.82827,92.79525,NH3,1,2,2
